,ItemNo,AItemName
279,1262,راس سماع دش 20سم رقم 8681
280,1263,خلاط مجلة جدارسن لائيك
281,1265,"ماسورة حار 3/4""بحرينى ضغط 80"
282,1268,ماسورة رمادى 50 * 2.4 نيبروC-4
283,1267,ماسورة كهرباء 50 ملي خفيف
284,126,تحويلة كرسي افرنجي 12 سم
285,1266,ماسورة قبلان 32 ملى (5.8)
286,1261,ماسورة قبلان 25 ملى (5.8)
287,1260,ماسورة قبلان 20 ملى (5.8)
288,1269,خلاط دش سن لائيك
289,127,"جلبة ذكر ابيض 1/1/2"" ضغط 40"
290,1270,خلاط شطاف سن لائيك
291,1271,خلاط مغسلة ديلتا ستاربلس
292,1273,ماسورة رمادي 90 مم 4.3 نيبرو
293,1272,تيب ابيض كبير الماني 30 متر
294,1264,"ماسورة بارد 3/4""  ضغط 80"
295,1274,ماسورة رمادي 90 مم * 2.7 تقنية
296,1276,"ماسورة حديد 1/2"" ثقيل"
297,1277,"ماسورة حديد 1/2-1"" ثقيل"
298,1279,"ماسورة حديد 1/4-1"" ثقيل"
299,1278,"ماسورة حديد 2"""
300,1275,"ماسورة حديد 1"""
301,128,"جلبة ذكر ابيض 1/4-1"" ضغط 40"
302,1280,"رداد واقف ايطالي MONDAL ""1/2"
303,1282,هراب مجة رخام  تايوان
304,1283,"ماسورة غاز 1/2"" ضغط 80"
305,1284,ماسورة تركي 25ملى (5.8)
306,1285,ماسورة تركي 32 ملى (5.8)
307,1286,قلب سخان مركزى دبل 6000 وات
308,1287,"بزبوز 3/4""RUX"
309,1288,شبكة حرارى السهو 7 خط 90 المانى
310,1281,"ماسورة حديد 3/4"" ثقيل"
311,129,"جلبة ذكر بارد 2"""
312,1290,خلاط بيدى يوروستايل جروهي
313,1291,خلاط دش SALERY
314,1293,خلاط مجلة كلودى
315,1296,مجلة المنيوم150*50 سم
316,1294,مغسلة ابيض مشب K27
317,1297,مجلة المونيوم 180*50سم
318,13,قسام غاز 11/2*1
319,1292,خلاط مغسلة كرستى
320,1295,مجرى سيل 15سم بالمتر
321,1298,مجلة المنيوم 100*50سم
322,1301,خلاط مجلة خرم 1جلورى روبا
323,1302,صفاية كروم  10*10 سم TREDEX
324,1303,سكر تركي ظاهر 20 مم
325,1305,سكر تركي ظاهر 32 مم
